mOTU	kingdom	phylum	class	order	family	genus	species
OTU165	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas sp. [C brassicacearum/fluorescens]
OTU166	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas brassicacearum
OTU167	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus ruminis
OTU168	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus taiwanensis
OTU169	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium ciceri [C]
OTU170	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium sp. [C L48C026A00/WSM2561]
OTU171	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium sp. [C WSM471/WSM1253/WSM1417/WSM4349]
OTU172	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp. [C gallicum/leguminosarum]
OTU173	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium leguminosarum
OTU174	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium leguminosarum
OTU175	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium leguminosarum
OTU176	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium medicae
OTU177	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobiaceae gen. [C Ensifer/Sinorhizobium]	s__Rhizobiaceae gen. [C Ensifer sp./Sinorhizobium meliloti]
OTU178	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp. [C colombiense/tuberculosis]
OTU179	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus	s__Brevibacillus laterosporus
OTU180	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp. [C 42MFCr.1/IBUN]
OTU181	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus delbrueckii
OTU182	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis
OTU183	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium animalis
OTU184	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Brachyspirales	f__Brachyspiraceae	g__Brachyspira	s__Brachyspira pilosicoli
OTU185	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas putida
OTU186	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas putida
OTU187	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas sp. [C monteilii/plecoglossicida/putida]
OTU188	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus necator [C]
OTU189	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Oenococcus	s__Oenococcus kitaharae
OTU190	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__[Clostridium] clariflavum
OTU191	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Weissella	s__Weissella koreensis
OTU192	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae [C]
OTU193	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter sp. [C malonaticus/sakazakii/turicensis/universalis]
OTU194	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp. [C Ant20/FUKUSWIS1]
OTU195	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Chlamydiaceae	g__Chlamydia	s__Chlamydia psittaci
OTU196	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus mali
OTU197	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp. [C johnsonii/lwoffii]
OTU198	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus vestibularis
OTU199	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius [C]
OTU200	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeota class incertae sedis	o__Nanoarchaeota order incertae sedis	f__Nanoarchaeota fam. incertae sedis	g__Nanoarchaeota gen. incertae sedis	s__Nanoarchaeota archaeon SCGC AAA011-L22
OTU201	k__Bacteria	p__candidatus Cloacimonetes	c__candidatus Cloacimonetes class incertae sedes	o__candidatus Cloacimonetes order incertae sedes	f__candidatus Cloacimonetes fam. incertae sedes	g__candidatus Cloacimonetes gen. incertae sedes	s__Cloacimonetes bacterium SCGC AAA252-I11
OTU202	k__Bacteria	p__candidatus Hydrogenedentes	c__candidatus Hydrogenedentes class incertae sedis	o__candidatus Hydrogenedentes order incertae sedis	f__candidatus Hydrogenedentes fam. incertae sedis	g__candidatus Hydrogenedentes gen. incertae sedis	s__Hydrogenedentes bacterium JGI 0000077-O16
OTU203	k__Bacteria	p__candidatus Aminicenantes	c__candidatus Aminicenantes class incertae sedis	o__candidatus Aminicenantes order incertae sedis	f__candidatus Aminicenantes fam. incertae sedis	g__candidatus Aminicenantes gen. incertae sedis	s__Aminicenantes bacterium SCGC AAA252-F08
OTU204	k__Bacteria	p__candidatus Atribacteria	c__candidatus Atribacteria class incertae sedis	o__candidatus Atribacteria order incertae sedis	f__candidatus Atribacteria fam. incertae sedis	g__candidatus Atribacteria gen. incertae sedis	s__Atribacteria bacterium SCGC AAA252-M02
OTU205	k__Bacteria	p__candidatus Marinimicrobia	c__candidatus Marinimicrobia class incertae sedis	o__candidatus Marinimicrobia order incertae sedis	f__candidatus Marinimicrobia fam. incertae sedis	g__candidatus Marinimicrobia gen. incertae sedis	s__Marinimicrobia bacterium JGI 0000039-D08
OTU206	k__Bacteria	p__candidatus Cloacimonetes	c__candidatus Cloacimonetes class incertae sedes	o__candidatus Cloacimonetes order incertae sedes	f__candidatus Cloacimonetes fam. incertae sedes	g__candidatus Cloacimonetes gen. incertae sedes	s__Cloacimonetes bacterium JGI 0000039-G13
OTU207	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	s__Geobacillus sp. [C kaustophilus/thermocatenulatus/thermoleovorans]
OTU208	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum ferriphilum [C]
OTU209	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria order incertae sedis	f__Gammaproteobacteria fam. incertae sedis	g__Gammaproteobacteria gen. incertae sedis	s__endosymbiont of Riftia pachyptila
OTU210	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma iowae
OTU211	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira borgpetersenii
OTU212	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira sp. [C kirschneri/santarosai]
OTU213	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira licerasiae
OTU214	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Salinispora	s__Salinispora tropica
OTU215	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Salinispora	s__Salinispora pacifica
OTU216	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Chlamydiaceae	g__Chlamydia	s__Chlamydia psittaci
OTU217	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus peoriae [C]
OTU218	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus equi
OTU219	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus thermophilus
OTU220	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus mojavensis
OTU221	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina pasteurii [C]
OTU222	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus tequilensis
OTU223	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales Family XVII. Incertae Sedis	g__Sulfobacillus	s__Sulfobacillus acidophilus
OTU224	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio splendidus [C]
OTU225	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio tubiashii
OTU226	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus sp. [C casei/paracasei]
OTU227	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus fascians [C]
OTU228	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria weaveri
OTU229	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus fascians [C]
OTU230	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Granulibacter	s__Granulibacter bethesdensis
OTU231	k__Archaea	p__Crenarchaeota	c__Crenarchaeota class incertae sedis [YNPFFA]	o__Crenarchaeota order incertae sedis [YNPFFA]	f__Crenarchaeota fam. incertae sedis [YNPFFA]	g__Crenarchaeota gen. incertae sedis [YNPFFA]	s__Crenarchaeota archaeon SCGC AAA471-B05
OTU232	k__Bacteria	p__candidatus Calescamantes	c__candidatus Calescamantes class incertae sedis	o__candidatus Calescamantes order incertae sedis	f__candidatus Calescamantes fam. incertae sedis	g__candidatus Calescamantes gen. incertae sedis	s__Calescamantes bacterium SCGC AAA471-M6
OTU233	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. [C anthracis/cereus/subtilis/thuringiensis/weihenstephanensis]
OTU234	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. [C cereus/mycoides/thuringiensis/toyonensis/weihenstephanensis]
OTU235	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. [C cereus/mycoides/pseudomycoides]
OTU237	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis
OTU238	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptacidiphilus	s__Streptacidiphilus sp. [C anmyonensis/melanogenes/neutrinimicus]
OTU239	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptacidiphilus	s__Streptacidiphilus carbonis
OTU240	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptacidiphilus	s__Streptacidiphilus jeojiense
OTU241	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptacidiphilus	s__Streptacidiphilus albus
OTU242	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. [C bottropensis/scabiei]
OTU243	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. [C californicus/floridae/puniceus/purpeochromogenes/vinaceus]
OTU244	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. [C anulatus/filamentosus/globisporus/griseus/mediolani]
OTU245	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. [C alboviridis/cyaneofuscatus/fulvissimus]
OTU246	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__Arthrobacter sp. [C CAL618/TB 23]
OTU247	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter sp. [C TB47/TB67]
OTU248	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter sp. TB15
OTU249	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Teredinibacter	s__Teredinibacter turnerae
OTU250	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Teredinibacter	s__Teredinibacter turnerae
OTU251	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Frankiaceae	g__Frankia	s__Frankia sp. [C Allo2/BMG5.23/CcI3/CcI6/CeD]
OTU252	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera elsdenii
OTU253	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Azospirillum	s__Azospirillum brasilense
OTU254	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter bereziniae [C]
OTU255	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp. [C guillouiae/lwoffii]
OTU256	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter seifertii [C]
OTU257	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp. [C baumannii/nosocomialis]
OTU258	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Amycolatopsis	s__Amycolatopsis sp. [C methanolica/thermoflava]
OTU259	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halomicrobium	s__Halomicrobium sp. [C katesii/mukohataei]
OTU260	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus villosus
OTU261	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp. [C equinus/infantarius/lutetiensis]
OTU262	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria meningitidis
OTU263	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenes	s__Alcaligenes faecalis [C]
OTU264	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenes	s__Alcaligenes faecalis
OTU265	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter sp. [C cancerogenus/cloacae/cloacae/hormaechei]
OTU266	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae [C]
OTU267	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter sp. [C asburiae/cloacae/cloacae]
OTU268	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae
OTU269	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae
OTU270	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter venetianus [C]
OTU271	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus coagulans
OTU272	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus buchneri
OTU273	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia enterocolitica
OTU274	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Blattabacteriaceae	g__Blattabacterium	s__Blattabacterium sp. [C Blatta orientalis/Periplaneta americana]
OTU275	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides stercoris
OTU276	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella nigrescens
OTU277	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella oralis
OTU278	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sanguinis
OTU279	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sanguinis [C]
OTU280	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__[Ruminococcus] gnavus
OTU281	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus lactaris
OTU282	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas hydrophila
OTU283	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas hydrophila
OTU284	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas sp. [C lacus/jandaei]
OTU285	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii [C]
OTU286	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis [C]
OTU287	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis [C]
OTU288	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sobrinus
OTU289	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mutans
OTU290	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium pseudotuberculosis
OTU291	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium yanoikuyae
OTU292	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium sp. [C crenatum/glutamicum]
OTU293	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Pasteurella	s__Pasteurella multocida
OTU294	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. [C botulinum/sporogenes]
OTU295	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Methylocystaceae gen. [C Methylocystis/Methylosinus]	s__Methylocystaceae sp. [C Methylocystis/Methylosinus]
OTU296	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__Sediminibacterium sp. [C OR43/OR53]
OTU297	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rhodanobacter	s__Rhodanobacter denitrificans [C]
OTU298	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacteriaceae gen. [C Pantoea/Enterobacter]	s__Enterobacteriaceae sp. [C Pantoea rwandensis/Enterobacter cancerogenus]
OTU299	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. [C altitudinis/pumilus/stratosphericus]
OTU300	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus sp. [C erythropolis/qingshengii]
OTU301	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Buchnera	s__Buchnera aphidicola
OTU302	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides nordii [C]
OTU303	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp. [C HPP0074/HPP0048]
OTU304	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus chitinolyticus [C]
OTU305	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium amycolatum [C]
